"sifra_ko","obcina"
769,"SLOVENSKA BISTRICA"
770,"SLOVENSKA BISTRICA"
771,"SLOVENSKA BISTRICA"
772,"MAKOLE"
773,"MAKOLE"
774,"MAJŠPERK"
774,"MAKOLE"
775,"MAKOLE"
776,"SLOVENSKA BISTRICA"
776,"MAKOLE"
777,"POLJČANE"
778,"SLOVENSKA BISTRICA"
778,"POLJČANE"
779,"POLJČANE"
780,"POLJČANE"
781,"POLJČANE"
782,"POLJČANE"
783,"POLJČANE"
784,"POLJČANE"
785,"MAKOLE"
786,"MUTA"
787,"MUTA"
788,"MUTA"
789,"MUTA"
790,"RADLJE OB DRAVI"
791,"RADLJE OB DRAVI"
792,"RADLJE OB DRAVI"
793,"RADLJE OB DRAVI"
794,"RADLJE OB DRAVI"
795,"RADLJE OB DRAVI"
796,"PODVELKA"
797,"PODVELKA"
798,"PODVELKA"
799,"PODVELKA"
800,"PODVELKA"
801,"PODVELKA"
802,"RADLJE OB DRAVI"
802,"PODVELKA"
803,"RADLJE OB DRAVI"
804,"RADLJE OB DRAVI"
805,"RADLJE OB DRAVI"
806,"RADLJE OB DRAVI"
807,"MUTA"
808,"MUTA"
809,"MUTA"
810,"MUTA"
812,"VUZENICA"
813,"VUZENICA"
814,"VUZENICA"
814,"LJUBLJANA"
815,"VUZENICA"
816,"RADLJE OB DRAVI"
817,"RADLJE OB DRAVI"
818,"RADLJE OB DRAVI"
818,"RIBNICA NA POHORJU"
819,"PODVELKA"
819,"RIBNICA NA POHORJU"
820,"PODVELKA"
821,"PODVELKA"
822,"PODVELKA"
822,"RIBNICA NA POHORJU"
823,"RIBNICA NA POHORJU"
824,"RIBNICA NA POHORJU"
825,"DRAVOGRAD"
826,"DRAVOGRAD"
827,"DRAVOGRAD"
828,"DRAVOGRAD"
829,"DRAVOGRAD"
831,"DRAVOGRAD"
832,"DRAVOGRAD"
833,"DRAVOGRAD"
834,"DRAVOGRAD"
835,"DRAVOGRAD"
837,"DRAVOGRAD"
