ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,INTERNA_OZNAKA_ODDANIH_PROSTOROV,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_ODDANIH_PROSTOROV,OPREMLJENOST_ODDANIH_PROSTOROV,MIKROLOKACIJA_ODDANIH_PROSTOROV,IZLOZBA,NAKUPOVALNI_CENTER,POVRSINA_ODDANIH_PROSTOROV,POVRSINA_ODDANIH_PROSTOROV_ENAKA_DELU_STAVBE,POGODBENA_NAJEMNINA_POSAMEZNIH_ODDANIH_PROSTOROV,OPOMBE_O_ODDANIH_PROSTORIH,LETO_IZGRADNJE_STAVBE,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA_DELA_STAVBE,PROSTORI_DELA_STAVBE,UPORABNA_POVRSINA_ODDANIH_PROSTOROV,GOSTINSKI_VRT,VKLJUCENOST_GOSTINSKEGA_VRTA_V_NAJEMNINO,POVRSINA_GOSTINSKEGA_VRTA,E_CENTROID,N_CENTROID,LETO
894988,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,707,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12.4,12.4, garaža,12.4,,,,461244.14,99818.85,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,725,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.6,,,,461244.14,99818.85,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,675,,,,,,,3,0,,,,12.4,,,,2005,15 - Garaža,klet,,12.4,12.4, garaža,12.4,,,,461253.78,99798.2,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,561,B1,Ljubljana,Barjanska cesta,54,,561,5,0,2,,,367.08,,,,2005,1220301 - Poslovni prostori,pritličje,,433.3,433.3, poslovni prostor,325.45,,,,461237.97,99820.92,2025
894980,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,641,PM 267,,,,,,3,1,,,,12.4,,,,2005,1242002 - garaža v garažni hiši,klet,,12.4,12.4, garaža,12.4,,,,461237.97,99820.92,2025
894980,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,650,PM 258,,,,,,3,1,,,,12.4,,,,2005,1242002 - garaža v garažni hiši,klet,,12.4,12.4, garaža,12.4,,,,461237.97,99820.92,2025
894980,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,651,PM 257,,,,,,3,1,,,,12.4,,,,2005,1242002 - garaža v garažni hiši,klet,,12.4,12.4, garaža,12.4,,,,461237.97,99820.92,2025
894987,2156,RADOVLJICA,RADOVLJICA,667,3,,RADOVLJICA,GORENJSKA CESTA,33,a,2,2,1,,,,42.4,,,,1960,2 - stanovanje,pritličje,,42.4,33.9, bivalni prostor | klet,33.9,,,,436140.92,134398.23,2025
894988,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,669,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12.4,12.4, garaža,12.4,,,,461244.14,99818.85,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,769,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,11.9,11.9, garaža,12.6,,,,461244.14,99818.85,2025
895000,665,RUŠE,RUŠE,1617,1,,RUŠE,INDUSTRIJSKA ULICA,14, ,1,2,1,,,,80.9,,,,1956,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,,80.9,69.3," bivalni prostor | klet | odprta terasa, balkon, loža",69.3,,,,539655.98,155899.95,2025
894989,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,743,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12.3,12.3, garaža,12.4,,,,461244.14,99818.85,2025
894990,2180,ŽIROVNICA,ŽIROVNICA,409,2,,MOSTE,,3,a,2,2,1,,,,151.7,,,,1900,2 - stanovanje,pritličje,,151.7,115.6," bivalni prostor | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",115.6,,,,433347.94,141013.84,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,728,1722 7643 728,,,,,,3,0,,,,12.3,,,,2005,1242002 - Garaža,klet,,12.3,12.3, garaža,12.3,,,,461237.97,99820.92,2025
894981,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,659,PM 268,,,,,,3,1,,,,12.5,,,,2005,15 - garaža,klet,,12.4,12.4, garaža,12.5,,,,461244.14,99818.85,2025
894985,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,695,1722 7643 696,,,,,,3,0,,,,11.7,,,,2005,15 - garaža,klet,,11.9,11.9, garaža,,,,,461244.14,99818.85,2025
894982,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,700,1722 7643 696,,,,,,3,0,,,,11.7,,,,2005,15 - garaža,klet,,12.4,12.4, garaža,,,,,461244.14,99818.85,2025
894969,2002,VRHNIKA,VRHNIKA,3240,12,,VRHNIKA,IDRIJSKA CESTA,42,,12,11,0,,,,43.7,,,,1960,17 - del stavbe za industrijsko rabo,pritličje,,43.7,43.7, proizvodni in skladiščni prostor,43.7,,,,444529.31,91838,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,717,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,12.6,12.6, garaža,12.6,,,,461244.14,99818.85,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,718,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.6,,,,461244.14,99818.85,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,721,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,11.6,11.6, garaža,12.6,,,,461244.14,99818.85,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,564,B4,LJUBLJANA,BARJANSKA CESTA,54,,564,5,0,3,,,361.98,,,,2005,9 - Poslovni del stavbe,nadstropje,,362,362, poslovni prostor,361.98,,,,461253.78,99798.2,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,674,,,,,,,3,0,,,,12.4,,,,2005,15 - Garaža,klet,,12.4,12.4, garaža,12.4,,,,461253.78,99798.2,2025
894989,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,722,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12,12, garaža,12.4,,,,461244.14,99818.85,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,716,,,,,,,3,0,,,,12.6,,,,2005,15 - Garaža,klet,,12.6,12.6, garaža,12.6,,,,461253.78,99798.2,2025
894984,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,700,1722 7643 696,,,,,,3,0,,,,11.7,,,,2005,15 - garaža,klet,,12.4,12.4, garaža,,,,,461244.14,99818.85,2025
894993,1696,RUDNIK,LJUBLJANA,2604,1,,LJUBLJANA,CVETKOVA ULICA,29,,,5,1,2,,,92.76,,,,2003,9 - poslovni del stavbe,pritličje,,1335.5,883.2, poslovni prostor,,,,,464142.42,98363.75,2025
894965,2093,PODBREZJE,NAKLO,289,1,POSLOVNI PROSTOR,PODBREZJE,,36,,1,9,1,2,,,107.5,,,,1980,7 - prehrambni gostinski obrat,pritličje,,215,200," lokal, prodajalna | lokal, prodajalna",107.5,0,,,444541.06,128339.97,2025
894980,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,648,PM 260,,,,,,3,1,,,,12.4,,,,2005,1242002 - garaža v garažni hiši,klet,,12.4,12.4, garaža,12.4,,,,461237.97,99820.92,2025
894980,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,649,PM 259,,,,,,3,1,,,,12.5,,,,2005,1242002 - garaža v garažni hiši,klet,,12.5,12.5, garaža,12.5,,,,461237.97,99820.92,2025
894968,2002,VRHNIKA,VRHNIKA,3240,13,,VRHNIKA,IDRIJSKA CESTA,42,,13,8,0,2,,,60.4,,,,1960,17 - del stavbe za industrijsko rabo,pritličje,,60.4,60.4, proizvodni in skladiščni prostor,60.4,,,,444529.31,91838,2025
894969,2002,VRHNIKA,VRHNIKA,3240,11,,VRHNIKA,IDRIJSKA CESTA,42,,11,11,0,,,,17.95,,,,1960,17 - del stavbe za industrijsko rabo,pritličje,,43.8,43.8, proizvodni in skladiščni prostor,17.95,,,,444529.31,91838,2025
894969,2002,VRHNIKA,VRHNIKA,3240,44,,,,,,,11,1,,,,7.7,,,,1960,17 - del stavbe za industrijsko rabo,pritličje,,42.5,42.5, proizvodni in skladiščni prostor,7.7,,,,444529.31,91838,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,720,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,12.1,12.1, garaža,12.6,,,,461244.14,99818.85,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,563,B3,LJUBLJANA,BARJANSKA CESTA,54,,563,5,0,3,,,424.38,,,,2005,9 - Poslovni del stavbe,nadstropje,,424.4,424.4, poslovni prostor,424.38,,,,461253.78,99798.2,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,684,,,,,,,3,0,,,,12,,,,2005,15 - Garaža,klet,,12,12, garaža,12,,,,461253.78,99798.2,2025
894994,1696,RUDNIK,LJUBLJANA,2913,1,,LJUBLJANA,CVETKOVA ULICA,39,,,5,1,3,,,272.5,,,,2000,10 - trgovski del stavbe,pritličje,,528.3,282.4," lokal, prodajalna | tehnični prostor",,,,,464150.63,98415.62,2025
894970,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,755,1722 7643 755,,,,,,3,0,,,,11.9,,,,2005,1242002 - Garaža,klet,,11.9,11.9, garaža,11.9,,,,461237.97,99820.92,2025
895001,2315,ŠEMPETER,ŠEMPETER-VRTOJBA,1112,1,,ŠEMPETER PRI GORICI,VRTOJBENSKA CESTA,48,,,5,1,2,,,15,,,,1960,9 - poslovni del stavbe,klet,,164,107, poslovni prostor,15,,,,394255.62,88083.04,2025
894980,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,572,C2,LJUBLJANA,BARJANSKA CESTA,58,,572,5,0,2,,,395.82,,,,2005,1220301 - Poslovni prostori,pritličje,,339.5,339.5, poslovni prostor,339.5,,,,461237.97,99820.92,2025
894986,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,738,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.4,,,,461244.14,99818.85,2025
894988,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,666,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12.4,12.4, garaža,12.4,,,,461244.14,99818.85,2025
894988,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,670,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.4,,,,461244.14,99818.85,2025
894991,1696,RUDNIK,LJUBLJANA,2604,1,,LJUBLJANA,CVETKOVA ULICA,29,,,5,1,3,,,186.91,,,,2003,9 - poslovni del stavbe,pritličje,,1335.5,883.2, poslovni prostor,,,,,464142.42,98363.75,2025
894968,2002,VRHNIKA,VRHNIKA,3413,1,,,,,,,8,0,2,,,145,,,,1960,17 - del stavbe za industrijsko rabo,pritličje,,145,145, proizvodni in skladiščni prostor,145,,,,444568.09,91835.62,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,770,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.6,,,,461244.14,99818.85,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,680,,,,,,,3,0,,,,12.5,,,,2005,15 - Garaža,klet,,12.5,12.5, garaža,12.5,,,,461253.78,99798.2,2025
894992,1456,NOVO MESTO,NOVO MESTO,412,18,0,Novo mesto,Mestne njive,5,,18,2,0,,,,43.3,,,,1964,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,,45.1,41," bivalni prostor | klet | odprta terasa, balkon, loža",,,,,512785.43,74653.29,2025
894972,2002,VRHNIKA,VRHNIKA,3240,23,,VRHNIKA,IDRIJSKA CESTA,42,,23,5,0,3,,,27,,,,1960,9 - poslovni del stavbe,nadstropje,,27,27, poslovni prostor,27,,,,444529.31,91838,2025
894965,2093,PODBREZJE,NAKLO,289,1,,PODBREZJE,,36,,1,3,1,,,,239,,,,1980,7 - prehrambni gostinski obrat,pritličje,,215,200," lokal, prodajalna | lokal, prodajalna",239,,,,444541.06,128339.97,2025
894980,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,639,PM 269,,,,,,3,1,,,,12.4,,,,2005,1242002 - garaža v garažni hiši,klet,,12.4,12.4, garaža,12.4,,,,461237.97,99820.92,2025
894980,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,642,PM 266,,,,,,3,1,,,,12.4,,,,2005,1242002 - garaža v garažni hiši,klet,,12.4,12.4, garaža,12.4,,,,461237.97,99820.92,2025
894979,2175,JESENICE,JESENICE,1879,3,,JESENICE,ULICA VIKTORJA KEJŽARJA,39,,9,2,1,,,,72.3,,,,1972,2 - stanovanje,nadstropje,,72.3,52.5," bivalni prostor | klet | odprta terasa, balkon, loža",52.5,,,,428453.75,144030.08,2025
894967,1881,KANDRŠE,ZAGORJE OB SAVI,121,1,,MLINŠE,MLINŠE,14,,,2,0,,,,81.3,,,,1956,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,,81.3,78.9," bivalni prostor | klet | zaprta terasa, balkon, loža",,,,,490719.89,111795.28,2025
894974,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,726,,,,,,,3,0,,,,12.6,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.6,,,,461244.14,99818.85,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,673,,,,,,,3,0,,,,12.5,,,,2005,15 - Garaža,klet,,12.5,12.5, garaža,12.5,,,,461253.78,99798.2,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,676,,,,,,,3,0,,,,12.5,,,,2005,15 - Garaža,klet,,12.5,12.5, garaža,12.5,,,,461253.78,99798.2,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,681,,,,,,,3,0,,,,12.5,,,,2005,15 - Garaža,klet,,12.5,12.5, garaža,12.5,,,,461253.78,99798.2,2025
894977,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,683,,,,,,,3,0,,,,12.3,,,,2005,15 - Garaža,klet,,12.3,12.3, garaža,12.3,,,,461253.78,99798.2,2025
894988,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,667,PM 269,,,,,,4,1,,,,12.4,,,,2005,15 - garaža,klet,,12.5,12.5, garaža,12.4,,,,461244.14,99818.85,2025
897600,1756,ČRNUČE,LJUBLJANA,2619,47,,LJUBLJANA,CESTA 24. JUNIJA,37,,40,3,0,,,,12.8,,,,2000,15 - garaža,klet,,12.8,12.8, garaža,12.8,,,,463492.99,106286.04,2025
897606,1723,VIČ,LJUBLJANA,9370,209,,LJUBLJANA,CESTA NA BRDO,71,,209,2,0,,,,60.64,,,,2002,2 - stanovanje,nadstropje,,95.4,46.9," bivalni prostor | klet | odprta terasa, balkon, loža",60.64,,,,458883.85,100818.57,2025
897627,392,KRČEVINA PRI PTUJU,PTUJ,244,1,,PTUJ,OREŠJE,43,,,2,1,,,,36,,,,1800,1 - Stanovanje v enostanovanjski stavbi,pritličje,,60.2,60.2, bivalni prostor,36,,,,565553.14,143787.19,2025
897628,392,KRČEVINA PRI PTUJU,PTUJ,244,1,,PTUJ,OREŠJE,43,,1,2,1,,,,60.2,,,,1800,2 - stanovanje,pritličje,,60.2,60.2, bivalni prostor,60.2,,,,565549.32,143787.77,2025
897635,222,JAMNA,SVETI JURIJ OB ŠČAVNICI,362,1,1,,,,,,11,0,,,,429.6,,,,1980,1251001 - Industrijski del stavbe,pritličje,,429.6,429.6, proizvodni in skladiščni prostor,,,,,578643.94,159417.36,2025
897601,1577,KOČEVJE,KOČEVJE,279,21,,KOČEVJE,KIDRIČEVA ULICA,7,,21,2,0,,,,5501,,,,1966,2 - stanovanje,nadstropje,,54.8,52," bivalni prostor | klet | odprta terasa, balkon, loža",55.01,,,,489101.08,55688.14,2025
897606,1723,VIČ,LJUBLJANA,9372,386,,,,,,,3,0,,,,11.8,,,,2002,16 - garažno parkirno mesto,pritličje,,11.8,11.8, garažni parkirni prostor,11.8,,,,458917.3,100760.84,2025
897613,1077,CELJE,CELJE,642,9,,CELJE,OBLAKOVA ULICA,26,,9,2,1,,,,32.51,,,,1961,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,,33.9,30," bivalni prostor | klet | odprta terasa, balkon, loža",32.51,,,,520081.53,121772.97,2025
897614,2636,BEŽIGRAD,LJUBLJANA,3646,10,,LJUBLJANA,PERIČEVA ULICA,21,,10,2,0,,,,31.56,,,,1996,2 - Stanovanje,nadstropje,,34,29.2, bivalni prostor | klet,31.56,,,,462230.14,103053.04,2025
897620,1735,STOŽICE,LJUBLJANA,3408,38,,LJUBLJANA,BRATOVŠEVA PLOŠČAD,22,,30,2,1,,,,27.89,,,,1976,2 - stanovanje,nadstropje,,29.2,29.2, bivalni prostor,27.89,,,,462106.8,105629.45,2025
